,Title,Link,Price,Image,Year,Brand,Location,Kms Covered,Fuel Type,Type
1241,2018 Honda Amaze VX CVT Petrol,https://www.cardekho.com/buy-used-car-details/used-Honda-amaze-vx-cvt-petrol-cars-New-Delhi_af341d04-d2a2-4b1b-8e33-76352c070b01.htm,520000.0,https://images10.gaadi.com/usedcar_image/5078009/original/5ac08bc8f178566a01184884e47c1240.JPG?imwidth=640,2018,Honda,"Rohini Courts, New Delhi",28906.0,Petrol,Automatic
1242,2016 Honda City i VTEC V,https://www.cardekho.com/buy-used-car-details/used-Honda-city-i-vtec-v-cars-New-Delhi_aa5be72e-b39d-4b67-840e-831c158ce197.htm,356000.0,https://images10.gaadi.com/usedcar_image/5050432/original/b5fbedd064b165430dda76e5ec2991b5.jpg?imwidth=640,2016,Honda,"Rohini Courts, New Delhi",86668.0,Petrol,Manual
1243,2011 Honda City E,https://www.cardekho.com/used-car-details/used-Honda-city-e-cars-Gurgaon_594bf023-b9e8-42ce-a8a3-ec512cc166e7.htm?adId=22406&adType=41,200000.0,https://images10.gaadi.com/usedgaadi-sellcar/UsedCar/b696b121a/c72b39bf-60ac-4090-ba62-f2ded1c8f571.jpg?imwidth=640,2011,Honda,"Sector 56, Gurgaon",50000.0,Petrol,Manual
1244,2016 Honda City i VTEC VX,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-vx-cars-New-Delhi_4213f4d9-b891-47c8-9f09-c7ffb1563eee.htm,550000.0,https://images10.gaadi.com/usedcar_image/5040895/original/processed_c1c3312b4df5072ca5aa08810b6ed233.jpeg?imwidth=640,2016,Honda,"Lajpat Nagar, New Delhi",80000.0,Petrol,Manual
1245,2019 Honda Amaze VX CVT Petrol BSIV,https://www.cardekho.com/used-car-details/used-Honda-amaze-vx-cvt-petrol-bsiv-cars-New-Delhi_4b529dbd-fc70-4e67-90a2-effd832c9e23.htm,520000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Honda,"Rithala, New Delhi",43000.0,Petrol,Automatic
1246,2018 Honda Amaze VX Petrol,https://www.cardekho.com/used-car-details/used-Honda-amaze-vx-petrol-cars-New-Delhi_ad15f9f7-4500-45fb-9eeb-aa3fb28fbc0d.htm,525000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Honda,"Bengali Market, New Delhi",77000.0,Petrol,Manual
1247,2014 Honda Amaze E i-Vtech,https://www.cardekho.com/used-car-details/used-Honda-amaze-e-i-vtech-cars-Gurgaon_1d2d0651-95e1-44ab-a1c2-e62aa3b06fb1.htm?adId=22509&adType=41,250000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Honda,"Chakkarpur, Gurgaon",80000.0,Petrol,Manual
1248,2015 Honda City i VTEC SV,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-sv-cars-New-Delhi_3ff4bc58-4091-4e6c-a16d-0f6000a31936.htm,375000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Honda,"Moti Nagar, New Delhi",85000.0,Petrol,Manual
1249,2022 Honda Amaze 2nd Gen S BSVI,https://www.cardekho.com/used-car-details/used-Honda-amaze-2nd-gen-s-bsvi-cars-New-Delhi_a3bb0038-30e7-4003-a9b2-f6ecd035952c.htm,535000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Honda,"Bengali Market, New Delhi",33000.0,Petrol,Manual
1250,2022 Honda Amaze 2nd Gen S BSVI,https://www.cardekho.com/used-car-details/used-Honda-amaze-2nd-gen-s-bsvi-cars-New-Delhi_b49c7374-0de8-4e41-af63-e5439a9d7f2a.htm,570000.0,https://stimg.cardekho.com/pwa/img/spacer3x2.png,2022,Honda,"Saraswati Vihar, New Delhi",35000.0,Petrol,Manual
