Title,Link,Location,Price,Information,Image,Detail,Owner
Rolls-Royce Ghost,https://www.olx.in/item/cars-c84-used-rolls-royce-ghost-in-punjabi-bagh-east-delhi-iid-1818265182?rank=33,Punjabi Bagh East,"₹ 2,60,00,000","2014 - 65,000 km",https://apollo.olx.in:443/v1/files/a03q1hwrftwg1-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Ford Mustang,https://www.olx.in/item/cars-c84-used-ford-mustang-in-kirti-nagar-delhi-iid-1833022015?rank=34,Kirti Nagar,"₹ 1,15,95,000","2025 - 15,000 km",https://apollo.olx.in:443/v1/files/4sz5sah76wih3-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
BMW X7,https://www.olx.in/item/cars-c84-used-bmw-x7-in-naraina-delhi-iid-1833947017?rank=35,Naraina,"₹ 1,16,00,000",2025 - 1 km,https://apollo.olx.in:443/v1/files/dscbx59wg1pf-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
BMW Z4,https://www.olx.in/item/cars-c84-used-bmw-z4-in-dwarka-delhi-iid-1805982160?rank=36,Dwarka,"₹ 91,50,000","2025 - 12,000 km",https://apollo.olx.in:443/v1/files/76819heu27bn2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Land Rover Range Rover,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-in-mansarovar-garden-delhi-iid-1835303543?rank=37,Mansarovar Garden,"₹ 1,12,75,000","2018 - 43,800 km",https://apollo.olx.in:443/v1/files/r3ifgqw307r53-IN/image;s=150x0;q=50;f=webp;,"Petrol , --",2nd
Audi Q8,https://www.olx.in/item/cars-c84-used-audi-q8-in-naraina-delhi-iid-1809897141?rank=38,Naraina,"₹ 1,05,00,000",2024 - 1 km,https://apollo.olx.in:443/v1/files/hez7vmrcftpx-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Ford Mustang,https://www.olx.in/item/cars-c84-used-ford-mustang-in-kanhiya-nagar-delhi-iid-1835274152?rank=39,Kanhiya Nagar,"₹ 80,00,000","2019 - 25,000 km",https://apollo.olx.in:443/v1/files/ximfy2ze7gq22-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",2nd
Toyota VELLFIRE,https://www.olx.in/item/cars-c84-used-toyota-vellfire-in-naraina-delhi-iid-1803038011?rank=0,Naraina,"₹ 1,18,50,000",2025 - 1 km,https://apollo.olx.in:443/v1/files/c8y4xf6pfo7d3-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Audi Q7,https://www.olx.in/item/cars-c84-used-audi-q7-in-naraina-delhi-iid-1809898056?rank=1,Naraina,"₹ 90,00,000",2024 - 1 km,https://apollo.olx.in:443/v1/files/kunsueut0ka21-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Audi Q8,https://www.olx.in/item/cars-c84-used-audi-q8-in-naraina-delhi-iid-1800198212?rank=2,Naraina,"₹ 1,03,50,000",2024 - 1 km,https://apollo.olx.in:443/v1/files/mp928vro91if3-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Audi Q7,https://www.olx.in/item/cars-c84-used-audi-q7-in-naraina-delhi-iid-1798192847?rank=3,Naraina,"₹ 91,99,000",2024 - 1 km,https://apollo.olx.in:443/v1/files/ct8tsetjfzbr1-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Mercedes-Benz GLS,https://www.olx.in/item/cars-c84-used-mercedes-benz-gls-in-naraina-delhi-iid-1807811749?rank=4,Naraina,"₹ 1,24,50,000","2025 - 2,950 km",https://apollo.olx.in:443/v1/files/fbz6kchtn0ky-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
Land Rover Defender,https://www.olx.in/item/cars-c84-used-land-rover-defender-in-greater-kailash-delhi-iid-1836269053?rank=5,Greater Kailash,"₹ 88,95,000","2022 - 65,000 km",https://apollo.olx.in:443/v1/files/m2azq1al49r41-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",1st
